task,test_index,baseline_pass1,baseline_pass2,baseline_covered,baseline_passing_programs,baseline_distinct_outputs,v3_pass1,v3_pass2,v3_oracle,v3_covered,v3_passing_programs,v3_distinct_outputs,v3_top_votes,v3_top_min_complexity
025d127b,0,0,0,0,0,0,0,0,0,0,0,0,0,
09629e4f,0,0,0,0,0,0,0,0,0,0,0,0,0,
11dc524f,0,0,0,0,0,0,0,0,0,0,0,0,0,
11e1fe23,0,0,0,0,0,0,0,0,0,0,0,0,0,
13f06aa5,0,0,0,0,0,0,0,0,0,0,0,0,0,
140c817e,0,0,0,0,0,0,0,0,0,0,0,0,0,
178fcbfb,0,0,0,0,0,0,0,0,0,0,0,0,0,
17cae0c1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1b8318e3,0,0,0,0,0,0,0,0,0,0,0,0,0,
1cf80156,0,1,1,1,3,1,1,1,1,1,16,1,16,1.0
1e0a9b12,0,1,1,1,2,1,1,1,1,1,3,1,3,1.0
1e32b0e9,0,0,0,0,0,0,0,0,0,0,0,0,0,
20fb2937,0,0,0,0,0,0,0,0,0,0,0,0,0,
21f83797,0,0,0,0,0,0,0,0,0,0,0,0,0,
22168020,0,0,0,0,0,0,1,1,1,1,2,1,2,1.0
2281f1f4,0,0,0,0,0,0,0,0,0,0,0,0,0,
239be575,0,0,0,0,0,0,0,0,0,0,0,0,0,
239be575,1,0,0,0,0,0,0,0,0,0,0,0,0,
25094a63,0,0,0,0,0,0,0,0,0,0,0,0,0,
256b0a75,0,0,0,0,0,0,0,0,0,0,0,0,0,
2685904e,0,0,0,0,0,0,0,0,0,0,0,0,0,
2bcee788,0,0,0,0,0,0,0,0,0,0,0,0,0,
2de01db2,0,0,0,0,0,0,0,0,0,0,0,0,0,
2f0c5170,0,0,0,0,0,0,0,0,0,0,0,0,0,
31adaf00,0,0,0,0,0,0,0,0,0,0,0,0,0,
321b1fc6,0,0,0,0,0,0,0,0,0,0,0,0,0,
332202d5,0,0,0,0,0,0,0,0,0,0,0,0,0,
3345333e,0,0,0,0,0,0,0,0,0,0,0,0,0,
337b420f,0,0,0,0,0,0,0,0,0,0,0,0,0,
337b420f,1,0,0,0,0,0,0,0,0,0,0,0,0,
33b52de3,0,0,0,0,0,0,0,0,0,0,0,0,0,
342ae2ed,0,0,0,0,0,0,0,0,0,0,0,0,0,
3490cc26,0,0,0,0,0,0,0,0,0,0,0,0,0,
37ce87bb,0,0,0,0,0,0,0,0,0,0,0,0,0,
37d3e8b2,0,0,0,0,0,0,0,0,0,0,0,0,0,
396d80d7,0,0,0,0,0,0,0,0,0,0,0,0,0,
3ad05f52,0,0,0,0,0,0,0,0,0,0,0,0,0,
3b4c2228,0,0,0,0,0,0,0,0,0,0,0,0,0,
3b4c2228,1,0,0,0,0,0,0,0,0,0,0,0,0,
3de23699,0,0,0,0,0,0,0,0,0,0,0,0,0,
3eda0437,0,0,0,0,0,0,0,0,0,0,0,0,0,
4258a5f9,0,0,0,0,0,0,0,0,0,0,0,0,0,
42f83767,0,0,0,0,0,0,0,0,0,0,0,0,0,
42f83767,1,0,0,0,0,0,0,0,0,0,0,0,0,
447fd412,0,0,0,0,0,0,0,0,0,0,0,0,0,
4612dd53,0,0,0,0,0,0,0,0,0,0,0,0,0,
469497ad,0,0,0,0,0,0,0,0,0,0,0,0,0,
4a1cacc2,0,0,0,0,0,0,0,0,0,0,0,0,0,
4acc7107,0,0,0,0,0,0,0,0,0,0,0,0,0,
4e469f39,0,0,0,0,0,0,0,0,0,0,0,0,0,
50846271,0,0,0,0,0,0,0,0,0,0,0,0,0,
516b51b7,0,0,0,0,0,0,0,0,0,0,0,0,0,
52fd389e,0,0,0,0,0,0,0,0,0,0,0,0,0,
539a4f51,0,0,0,0,0,0,0,0,0,0,0,0,0,
54d82841,0,0,0,0,0,0,0,0,0,0,0,0,0,
54db823b,0,0,0,0,0,0,0,0,0,0,0,0,0,
551d5bf1,0,0,0,0,0,0,0,0,0,0,0,0,0,
56dc2b01,0,0,0,0,0,0,0,0,0,0,0,0,0,
56ff96f3,0,0,0,0,0,0,0,0,0,0,0,0,0,
5b6cbef5,0,0,0,0,0,0,0,0,0,0,0,0,0,
5ecac7f7,0,0,0,0,0,0,0,0,0,0,0,0,0,
5ecac7f7,1,0,0,0,0,0,0,0,0,0,0,0,0,
5ecac7f7,2,0,0,0,0,0,0,0,0,0,0,0,0,
60d73be6,0,0,0,0,0,0,0,0,0,0,0,0,0,
6165ea8f,0,0,0,0,0,0,0,0,0,0,0,0,0,
6165ea8f,1,0,0,0,0,0,0,0,0,0,0,0,0,
6350f1f4,0,0,0,0,0,0,0,0,0,0,0,0,0,
63613498,0,0,0,0,0,0,0,0,0,0,0,0,0,
6430c8c4,0,0,0,0,0,0,0,0,0,0,0,0,0,
662c240a,0,0,0,0,0,0,0,0,0,0,0,0,0,
668eec9a,0,0,0,0,0,0,0,0,0,0,0,0,0,
67636eac,0,0,0,0,0,0,0,0,0,0,0,0,0,
67c52801,0,0,0,0,0,0,0,0,0,0,0,0,0,
69889d6e,0,0,0,0,0,0,0,0,0,0,0,0,0,
6aa20dc0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6b9890af,0,0,0,0,0,0,0,0,0,0,0,0,0,
6cf79266,0,0,0,0,0,0,0,0,0,0,0,0,0,
6d0160f0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6f473927,0,0,0,0,0,0,0,0,0,0,0,0,0,
72a961c9,0,0,0,0,0,0,0,0,0,0,0,0,0,
762cd429,0,0,0,0,0,0,0,0,0,0,0,0,0,
7837ac64,0,0,0,0,0,0,0,0,0,0,0,0,0,
79369cc6,0,0,0,0,0,0,0,0,0,0,0,0,0,
7c8af763,0,0,0,0,0,0,0,0,0,0,0,0,0,
7d18a6fb,0,0,0,0,0,0,0,0,0,0,0,0,0,
7e4d4f7c,0,0,0,0,0,0,0,0,0,0,0,0,0,
80214e03,0,0,0,0,0,0,0,0,0,0,0,0,0,
80af3007,0,0,0,0,0,0,0,0,0,0,0,0,0,
81c0276b,0,0,0,0,0,0,0,0,0,0,0,0,0,
846bdb03,0,0,0,0,0,0,0,0,0,0,0,0,0,
84db8fc4,0,0,0,0,0,0,0,0,0,0,0,0,0,
85b81ff1,0,0,0,0,0,0,0,0,0,0,0,0,0,
8618d23e,0,0,0,0,0,0,0,0,0,0,0,0,0,
8731374e,0,0,0,0,0,0,0,0,0,0,0,0,0,
88207623,0,0,0,0,0,0,0,0,0,0,0,0,0,
88a62173,0,0,0,0,0,0,0,0,0,0,0,0,0,
890034e9,0,0,0,0,0,0,0,0,0,0,0,0,0,
8b28cd80,0,0,0,0,0,0,0,0,0,0,0,0,0,
8b28cd80,1,0,0,0,0,0,0,0,0,0,0,0,0,
8d510a79,0,0,0,0,0,0,0,0,0,0,0,0,0,
8f2ea7aa,0,0,0,0,0,0,0,0,0,0,0,0,0,
8fff9e47,0,0,0,0,0,0,0,0,0,0,0,0,0,
902510d5,0,0,0,0,0,0,0,0,0,0,0,0,0,
90f3ed37,0,0,0,0,0,0,0,0,0,0,0,0,0,
9110e3c5,0,0,0,0,0,0,0,0,0,0,0,0,0,
9110e3c5,1,0,0,0,0,0,0,0,0,0,0,0,0,
913fb3ed,0,0,0,0,0,0,0,0,0,0,0,0,0,
94be5b80,0,0,0,0,0,0,0,0,0,0,0,0,0,
952a094c,0,0,0,0,0,0,0,0,0,0,0,0,0,
95755ff2,0,0,0,0,0,0,0,0,0,0,0,0,0,
9720b24f,0,0,0,0,0,0,0,0,0,0,0,0,0,
9772c176,0,0,0,0,0,0,0,0,0,0,0,0,0,
97a05b5b,0,0,0,0,0,0,0,0,0,0,0,0,0,
9841fdad,0,0,0,0,0,0,0,0,0,0,0,0,0,
98cf29f8,0,0,0,0,0,0,0,0,0,0,0,0,0,
996ec1f3,0,0,0,0,0,0,0,0,0,0,0,0,0,
9aec4887,0,0,0,0,0,0,0,0,0,0,0,0,0,
9b5080bb,0,0,0,0,0,0,0,0,0,0,0,0,0,
9f236235,0,0,0,0,0,0,0,0,0,0,0,0,0,
9f27f097,0,0,0,0,0,0,0,0,0,0,0,0,0,
9f5f939b,0,0,0,0,0,0,0,0,0,0,0,0,0,
9f8de559,0,0,0,0,0,0,0,0,0,0,0,0,0,
a096bf4d,0,0,0,0,0,0,0,0,0,0,0,0,0,
a1570a43,0,0,0,0,0,0,0,0,0,0,0,0,0,
a2d730bd,0,0,0,0,0,0,0,0,0,0,0,0,0,
a406ac07,0,0,0,0,0,0,0,0,0,0,0,0,0,
a416b8f3,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0
a416fc5b,0,0,0,0,0,0,0,0,0,0,0,0,0,
a644e277,0,0,0,0,0,0,0,0,0,0,0,0,0,
a6953f00,0,0,0,0,0,0,0,0,0,0,0,0,0,
a834deea,0,0,0,0,0,0,0,0,0,0,0,0,0,
a87f7484,0,0,0,0,0,0,0,0,0,0,0,0,0,
aedd82e4,0,0,0,0,0,0,0,0,0,0,0,0,0,
af24b4cc,0,0,0,0,0,0,0,0,0,0,0,0,0,
af902bf9,0,0,0,0,0,0,0,0,0,0,0,0,0,
b0722778,0,0,0,0,0,0,0,0,0,0,0,0,0,
b1948b0a,0,1,1,1,1,1,1,1,1,1,1,1,1,2.0
b27ca6d3,0,0,0,0,0,0,0,0,0,0,0,0,0,
b4a43f3b,0,0,0,0,0,0,0,0,0,0,0,0,0,
b527c5c6,0,0,0,0,0,0,0,0,0,0,0,0,0,
b6afb2da,0,0,0,0,0,0,0,0,0,0,0,0,0,
b8cdaf2b,0,0,0,0,0,0,0,0,0,0,0,0,0,
b91ae062,0,0,0,0,0,0,0,0,0,0,0,0,0,
baf41dbf,0,0,0,0,0,0,0,0,0,0,0,0,0,
bbb1b8b6,0,0,0,0,0,0,0,0,0,0,0,0,0,
bbb1b8b6,1,0,0,0,0,0,0,0,0,0,0,0,0,
bc93ec48,0,0,0,0,0,0,0,0,0,0,0,0,0,
bd283c4a,0,0,0,0,0,0,0,0,0,0,0,0,0,
bd5af378,0,0,0,0,0,0,0,0,0,0,0,0,0,
bda2d7a6,0,0,0,0,0,0,0,0,0,0,0,0,0,
bda2d7a6,1,0,0,0,0,0,0,0,0,0,0,0,0,
c3202e5a,0,0,0,0,0,0,0,0,0,0,0,0,0,
c3e719e8,0,0,0,0,0,0,0,0,0,0,0,0,0,
c3fa4749,0,0,0,0,0,0,0,0,0,0,0,0,0,
c3fa4749,1,0,0,0,0,0,0,0,0,0,0,0,0,
c97c0139,0,0,0,0,0,0,0,0,0,0,0,0,0,
c9f8e694,0,0,0,0,0,0,0,0,0,0,0,0,0,
cb227835,0,0,0,0,0,0,0,0,0,0,0,0,0,
cd3c21df,0,0,0,0,0,0,0,0,0,0,0,0,0,
