task,n_test_outputs,baseline_task_pass2,v3_task_pass2,v3_oracle_task
025d127b,1,0,0,0
09629e4f,1,0,0,0
11dc524f,1,0,0,0
11e1fe23,1,0,0,0
13f06aa5,1,0,0,0
140c817e,1,0,0,0
178fcbfb,1,0,0,0
17cae0c1,1,0,0,0
1b8318e3,1,0,0,0
1cf80156,1,1,1,1
1e0a9b12,1,1,1,1
1e32b0e9,1,0,0,0
20fb2937,1,0,0,0
21f83797,1,0,0,0
22168020,1,0,1,1
2281f1f4,1,0,0,0
239be575,2,0,0,0
25094a63,1,0,0,0
256b0a75,1,0,0,0
2685904e,1,0,0,0
2bcee788,1,0,0,0
2de01db2,1,0,0,0
2f0c5170,1,0,0,0
31adaf00,1,0,0,0
321b1fc6,1,0,0,0
332202d5,1,0,0,0
3345333e,1,0,0,0
337b420f,2,0,0,0
33b52de3,1,0,0,0
342ae2ed,1,0,0,0
3490cc26,1,0,0,0
37ce87bb,1,0,0,0
37d3e8b2,1,0,0,0
396d80d7,1,0,0,0
3ad05f52,1,0,0,0
3b4c2228,2,0,0,0
3de23699,1,0,0,0
3eda0437,1,0,0,0
4258a5f9,1,0,0,0
42f83767,2,0,0,0
447fd412,1,0,0,0
4612dd53,1,0,0,0
469497ad,1,0,0,0
4a1cacc2,1,0,0,0
4acc7107,1,0,0,0
4e469f39,1,0,0,0
50846271,1,0,0,0
516b51b7,1,0,0,0
52fd389e,1,0,0,0
539a4f51,1,0,0,0
54d82841,1,0,0,0
54db823b,1,0,0,0
551d5bf1,1,0,0,0
56dc2b01,1,0,0,0
56ff96f3,1,0,0,0
5b6cbef5,1,0,0,0
5ecac7f7,3,0,0,0
60d73be6,1,0,0,0
6165ea8f,2,0,0,0
6350f1f4,1,0,0,0
63613498,1,0,0,0
6430c8c4,1,0,0,0
662c240a,1,0,0,0
668eec9a,1,0,0,0
67636eac,1,0,0,0
67c52801,1,0,0,0
69889d6e,1,0,0,0
6aa20dc0,1,0,0,0
6b9890af,1,0,0,0
6cf79266,1,0,0,0
6d0160f0,1,0,0,0
6f473927,1,0,0,0
72a961c9,1,0,0,0
762cd429,1,0,0,0
7837ac64,1,0,0,0
79369cc6,1,0,0,0
7c8af763,1,0,0,0
7d18a6fb,1,0,0,0
7e4d4f7c,1,0,0,0
80214e03,1,0,0,0
80af3007,1,0,0,0
81c0276b,1,0,0,0
846bdb03,1,0,0,0
84db8fc4,1,0,0,0
85b81ff1,1,0,0,0
8618d23e,1,0,0,0
8731374e,1,0,0,0
88207623,1,0,0,0
88a62173,1,0,0,0
890034e9,1,0,0,0
8b28cd80,2,0,0,0
8d510a79,1,0,0,0
8f2ea7aa,1,0,0,0
8fff9e47,1,0,0,0
902510d5,1,0,0,0
90f3ed37,1,0,0,0
9110e3c5,2,0,0,0
913fb3ed,1,0,0,0
94be5b80,1,0,0,0
952a094c,1,0,0,0
95755ff2,1,0,0,0
9720b24f,1,0,0,0
9772c176,1,0,0,0
97a05b5b,1,0,0,0
9841fdad,1,0,0,0
98cf29f8,1,0,0,0
996ec1f3,1,0,0,0
9aec4887,1,0,0,0
9b5080bb,1,0,0,0
9f236235,1,0,0,0
9f27f097,1,0,0,0
9f5f939b,1,0,0,0
9f8de559,1,0,0,0
a096bf4d,1,0,0,0
a1570a43,1,0,0,0
a2d730bd,1,0,0,0
a406ac07,1,0,0,0
a416b8f3,1,1,1,1
a416fc5b,1,0,0,0
a644e277,1,0,0,0
a6953f00,1,0,0,0
a834deea,1,0,0,0
a87f7484,1,0,0,0
aedd82e4,1,0,0,0
af24b4cc,1,0,0,0
af902bf9,1,0,0,0
b0722778,1,0,0,0
b1948b0a,1,1,1,1
b27ca6d3,1,0,0,0
b4a43f3b,1,0,0,0
b527c5c6,1,0,0,0
b6afb2da,1,0,0,0
b8cdaf2b,1,0,0,0
b91ae062,1,0,0,0
baf41dbf,1,0,0,0
bbb1b8b6,2,0,0,0
bc93ec48,1,0,0,0
bd283c4a,1,0,0,0
bd5af378,1,0,0,0
bda2d7a6,2,0,0,0
c3202e5a,1,0,0,0
c3e719e8,1,0,0,0
c3fa4749,2,0,0,0
c97c0139,1,0,0,0
c9f8e694,1,0,0,0
cb227835,1,0,0,0
cd3c21df,1,0,0,0
d017b73f,1,0,0,0
d06dbe63,1,0,0,0
d23f8c26,1,0,0,0
d364b489,1,0,0,0
d4469b4b,2,0,0,0
d4b1c2b1,1,0,0,0
d5d6de2d,2,0,0,0
d687bc17,1,0,0,0
d94c3b52,1,0,0,0
da6e95e5,2,0,0,0
db615bd4,1,0,0,0
dc2e9a9d,1,0,0,0
dc46ea44,1,0,0,0
e21a174a,2,0,0,0
e26a3af2,1,0,0,0
e4075551,1,0,0,0
e50d258f,1,0,0,0
e57337a4,1,0,0,0
e5790162,1,0,0,0
e69241bd,1,0,0,0
e84fef15,1,0,0,0
e872b94a,1,0,0,0
e8dc4411,1,0,0,0
e9614598,2,0,0,0
e9afcf9a,1,0,0,0
e9b4f6fc,1,0,0,0
eb281b96,1,0,0,0
f0afb749,1,0,0,0
f0f8a26d,1,0,0,0
f45f5ca7,1,0,0,0
f76d97a5,1,0,0,0
f83cb3f6,1,0,0,0
f8cc533f,2,0,0,0
f9a67cb5,1,0,0,0
f9d67f8b,1,0,0,0
fd4b2b02,1,0,0,0
