task,n_test_outputs,task_pass1,task_pass2,task_covered
0934a4d8,1,0,0,0
135a2760,1,0,0,0
136b0064,1,0,0,0
13e47133,2,0,0,0
142ca369,2,0,0,0
16b78196,1,0,0,0
16de56c4,2,0,0,0
1818057f,1,0,0,0
195c6913,2,0,0,0
1ae2feb7,3,0,0,0
20270e3b,2,0,0,0
20a9e565,2,0,0,0
21897d95,2,0,0,0
221dfab4,2,0,0,0
247ef758,2,0,0,0
269e22fb,2,0,0,0
271d71e2,1,0,0,0
28a6681f,1,0,0,0
291dc1e1,1,0,0,0
2b83f449,1,0,0,0
2ba387bc,1,0,0,0
2c181942,1,0,0,0
2d0172a1,2,0,0,0
31f7f899,1,0,0,0
332f06d7,1,0,0,0
35ab12c3,1,0,0,0
36a08778,2,0,0,0
38007db0,2,0,0,0
3a25b0d8,2,0,0,0
3dc255db,1,0,0,0
3e6067c3,2,0,0,0
409aa875,1,0,0,0
446ef5d2,2,0,0,0
45a5af55,1,0,0,0
4a21e3da,1,0,0,0
4c3d4a41,2,0,0,0
4c416de3,1,0,0,0
4c7dc4dd,2,0,0,0
4e34c42c,2,0,0,0
53fb4810,1,0,0,0
5545f144,1,0,0,0
581f7754,2,0,0,0
58490d8a,1,0,0,0
58f5dbd5,1,0,0,0
5961cc34,1,0,0,0
5dbc8537,2,0,0,0
62593bfd,2,0,0,0
64efde09,1,0,0,0
65b59efc,2,0,0,0
67e490f4,1,0,0,0
6e453dd6,1,0,0,0
6e4f6532,2,0,0,0
6ffbe589,1,0,0,0
71e489b6,2,0,0,0
7491f3cf,1,0,0,0
7666fa5d,1,0,0,0
78332cb0,2,0,0,0
7b0280bc,1,0,0,0
7b3084d4,1,0,0,0
7b5033c1,1,0,0,0
7b80bb43,1,0,0,0
7c66cb00,1,0,0,0
7ed72f31,2,0,0,0
800d221b,1,0,0,0
80a900e0,1,0,0,0
8698868d,1,0,0,0
88bcf3b4,2,0,0,0
88e364bc,2,0,0,0
89565ca0,1,0,0,0
898e7135,1,0,0,0
8b7bacbf,2,0,0,0
8b9c3697,1,0,0,0
8e5c0c38,2,0,0,0
8f215267,1,0,0,0
8f3a5a89,1,0,0,0
9385bd28,2,0,0,0
97d7923e,1,0,0,0
981571dc,1,0,0,0
9aaea919,1,0,0,0
9bbf930d,1,0,0,0
a251c730,1,0,0,0
a25697e4,2,0,0,0
a32d8b75,2,0,0,0
a395ee82,1,0,0,0
a47bf94d,1,0,0,0
a6f40cea,1,0,0,0
aa4ec2a5,1,0,0,0
abc82100,1,0,0,0
b0039139,2,0,0,0
b10624e5,1,0,0,0
b5ca7ac4,1,0,0,0
b6f77b65,2,0,0,0
b99e7126,1,0,0,0
b9e38dc0,1,0,0,0
bf45cf4b,1,0,0,0
c4d067a0,1,0,0,0
c7f57c3e,1,0,0,0
cb2d8a2c,2,0,0,0
cbebaa4b,2,0,0,0
d35bdbdc,3,0,0,0
d59b0160,1,0,0,0
d8e07eb2,2,0,0,0
da515329,1,0,0,0
db0c5428,1,0,0,0
db695cfb,1,0,0,0
dbff022c,1,0,0,0
dd6b8c4b,2,0,0,0
de809cff,1,0,0,0
dfadab01,1,0,0,0
e12f9a14,2,0,0,0
e3721c99,2,0,0,0
e376de54,1,0,0,0
e8686506,1,0,0,0
e87109e9,1,0,0,0
edb79dae,1,0,0,0
eee78d87,1,0,0,0
f560132c,1,0,0,0
f931b4a8,2,0,0,0
faa9f03d,1,0,0,0
fc7cae8d,1,0,0,0
