task,k,n_consistent,candidate_correct,task_rate
009d5c81,1,1,0.0,0.0
0b148d64,1,1,1.0,1.0
0d3d703e,1,2,0.0,0.0
195ba7dc,1,1,0.0,0.0
1cf80156,1,3,3.0,1.0
1e0a9b12,1,2,2.0,1.0
1f85a75f,1,3,1.0,0.3333333333333333
34b99a2b,1,1,1.0,1.0
3c9b0459,1,9,9.0,1.0
45737921,1,1,0.0,0.0
4852f2fa,1,1,0.0,0.0
496994bd,1,4,4.0,1.0
4c4377d9,1,1,1.0,1.0
4e7e0eb9,1,9,0.0,0.0
5582e5ca,1,16,8.0,0.5
60c09cac,1,1,1.0,1.0
6150a2bd,1,7,7.0,1.0
63613498,1,1,0.0,0.0
67a3c6ac,1,11,10.0,0.9090909090909091
68b16354,1,13,13.0,1.0
68b67ca3,1,1,1.0,1.0
6d0aefbc,1,2,2.0,1.0
6df30ad6,1,2,0.0,0.0
6ea4a07e,1,1,0.0,0.0
6fa7a44f,1,1,1.0,1.0
7468f01a,1,3,3.0,1.0
74dd1130,1,18,14.0,0.7777777777777778
7bb29440,1,1,0.0,0.0
833966f4,1,2,0.0,0.0
85c4e7cd,1,8,0.0,0.0
880c1354,1,1,0.0,0.0
88a62173,1,1,0.0,0.0
8be77c9e,1,1,1.0,1.0
90347967,1,6,6.0,1.0
9172f3a0,1,1,1.0,1.0
94133066,1,2,0.0,0.0
9565186b,1,2,0.0,0.0
9720b24f,1,2,0.0,0.0
9a4bb226,1,1,0.0,0.0
9caf5b84,1,1,0.0,0.0
9ddd00f0,1,8,0.0,0.0
9dfd6313,1,14,14.0,1.0
a3325580,1,4,0.0,0.0
a416b8f3,1,1,1.0,1.0
a59b95c0,1,1,1.0,1.0
aabf363d,1,1,0.0,0.0
ac0a08a4,1,1,0.0,0.0
ad173014,1,1,0.0,0.0
b1948b0a,1,1,1.0,1.0
b91ae062,1,1,0.0,0.0
bda2d7a6,1,8,0.0,0.0
be94b721,1,1,1.0,1.0
c59eb873,1,1,1.0,1.0
c8f0f002,1,1,1.0,1.0
c9e6f938,1,4,2.0,0.5
ccd554ac,1,1,0.0,0.0
cd3c21df,1,2,0.0,0.0
ce602527,1,2,0.0,0.0
d2acf2cb,1,1,0.0,0.0
d4b1c2b1,1,1,0.0,0.0
d511f180,1,1,1.0,1.0
d56f2372,1,2,0.0,0.0
d631b094,1,24,0.0,0.0
dae9d2b5,1,1,1.0,1.0
e133d23d,1,1,1.0,1.0
ed36ccf7,1,18,9.0,0.5
f76d97a5,1,1,0.0,0.0
0b148d64,2,1,0.0,0.0
0d3d703e,2,2,0.0,0.0
1cf80156,2,3,3.0,1.0
1e0a9b12,2,2,2.0,1.0
34b99a2b,2,1,1.0,1.0
3c9b0459,2,9,8.0,0.8888888888888888
4c4377d9,2,1,1.0,1.0
5582e5ca,2,8,8.0,1.0
63613498,2,1,0.0,0.0
67a3c6ac,2,10,10.0,1.0
68b16354,2,13,13.0,1.0
68b67ca3,2,1,1.0,1.0
6d0aefbc,2,2,2.0,1.0
6fa7a44f,2,1,1.0,1.0
7468f01a,2,3,3.0,1.0
74dd1130,2,14,12.0,0.8571428571428571
8be77c9e,2,1,1.0,1.0
90347967,2,6,0.0,0.0
9720b24f,2,1,0.0,0.0
9dfd6313,2,14,14.0,1.0
a416b8f3,2,1,1.0,1.0
a59b95c0,2,1,0.0,0.0
b1948b0a,2,1,1.0,1.0
be94b721,2,1,1.0,1.0
c59eb873,2,1,1.0,1.0
c8f0f002,2,1,1.0,1.0
c9e6f938,2,2,2.0,1.0
d511f180,2,1,1.0,1.0
dae9d2b5,2,1,1.0,1.0
e133d23d,2,1,1.0,1.0
ed36ccf7,2,9,9.0,1.0
0d3d703e,3,2,0.0,0.0
34b99a2b,3,1,1.0,1.0
3c9b0459,3,8,8.0,1.0
4c4377d9,3,1,1.0,1.0
6d0aefbc,3,2,2.0,1.0
6fa7a44f,3,1,1.0,1.0
74dd1130,3,12,12.0,1.0
be94b721,3,1,1.0,1.0
dae9d2b5,3,1,1.0,1.0
e133d23d,3,1,1.0,1.0
ed36ccf7,3,9,9.0,1.0
dae9d2b5,4,1,1.0,1.0
e133d23d,4,1,1.0,1.0
